Last_Comment_Mention,Organization_Core_Member,Open_Issues,Team_Size,Friday,Assignees_Count,Followers,Project_Age,Review_Comments_Count,Participants_Count,Deletions,Mergeable,Thursday,Accept_Num,Tuesday,Label_Count,Watchers,Workload,Language,Wait_Time,Additions_Per_Week,Title,Contributions,Additions,Contributor,Monday,Contain_Fix_Bug,Review_Comments_Embedding,Intra_Branch,Churn_Average,Rebaseable,Wednesday,Close_Latency,Comments_Embedding,Commits_Average,Closed_Num_Rate,Comments_Count,Following,Sunday,Public_Repos,Forks_Count,PR_Created_at,Body,Contributor_Num,Private_Repos,User_Accept_Rate,Project_Accept_Rate,Mergeable_State,Comments_Per_Closed_PR,Timeline,url,Saturday,File_Touched_Average,Commits_PR,Point_To_IssueOrPR,Files_Changed,Comments_Per_Merged_PR,Merge_Latency,Deletions_Per_Week,Prev_PRs,Closed_Num,Stars,Day,X1_0,X1_1,X1_2,X1_3,X1_4,X1_5,X1_6,X1_7,X1_8,X1_9,X2_0,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X2_7,X2_8,X2_9,PR_Latency,Pull_Request_ID,Project_Name,PR_Date_Created_At,PR_Time_Create_At,PR_Date_Closed_At,PR_Time_Closed_At,first_response,latency_after_first_response,wait_time_up,PR_response,PR_age
0,0,44,4,0.38461538461464495,0,6,2216.619648148148,0,5,1,1,0.3269230769224482,0,0.46153846153757394,2,91,9,Python,6.701608796296296,515.6917293231791,Type stubs for mypy,2,3981,1,0.30769230769171596,0,,0,0.0,1,0.24999999999951922,0.0,"Hey @zer0tonin,
Your changes look good to me!
View build log
TravisBuddy Request Identifier: dabea830-e0f8-11e9-9589-952cf72143c3Codecov Report

Merging #1231 into master will not change coverage.
The diff coverage is n/a.


@@           Coverage Diff           @@
##           master    #1231   +/-   ##
=======================================
  Coverage   98.13%   98.13%           
=======================================
  Files         181      181           
  Lines       12786    12786           
=======================================
  Hits        12548    12548           
  Misses        238      238



Impacted Files
Coverage 





github/Repository.py
96.45% <ø> (ø)



github/ContentFile.py
97.91% <ø> (ø)



github/GitRelease.py
99.24% <ø> (ø)



github/PullRequest.py
97.64% <ø> (ø)



github/Notification.py
98.57% <ø> (ø)





Continue to review full report at Codecov.

Legend - Click here to learn more
 = absolute <relative> (impact), ø = not affected, ? = missing data
Powered by Codecov. Last update c9ed82b...7c8a3e9. Read the comment docs.Typestub files have extension .pyi, not .piy.
See https://mypy.readthedocs.io/en/latest/stubs.html for more details on stubs :)Typestub files have extension .pyi, not .piy.

Weird that mypy didn't warn me about that when testing lolHey @zer0tonin,
Your changes look good to me!
View build log
TravisBuddy Request Identifier: e69eb420-e129-11e9-9589-952cf72143c3Hey @zer0tonin,
Your changes look good to me!
View build log
TravisBuddy Request Identifier: a729f530-e132-11e9-9589-952cf72143c3Hey @zer0tonin,
Your changes look good to me!
View build log
TravisBuddy Request Identifier: 54e423d0-e133-11e9-9589-952cf72143c3Hey @zer0tonin,
Your changes look good to me!
View build log
TravisBuddy Request Identifier: ebe0e750-e520-11e9-950a-c74496fc22d4Hey, I was using the module recently and was going to add types anyway, and then came across this!
Is there any way that the PaginatedList class could be made generic, and then narrowed when it’s returned so the values pulled from it are also typed?
I’ll follow up with examples if needed tomorrow.I'm really not sure if generics can work only with stubs @Richard-Lynch
In any case, I think it's a good idea, but maybe it should be done as ""step 2"".I actually didn't realise that, my bad!
I'll keep an eye for step 2, is there an issue I can watch for the depreciation of Py2 support?",0.0,0.9999999999960001,11,2,0.05769230769219674,25,940,2019-09-27T07:29:09Z,"Adds type stubs that can be used in mypy, as requested in: #1217
The current type stubs were generated by MonkeyType against the unit test, however it missed a few things here and there so manual fix is required before merging (still WIP).",207,0,0.0,0.0,1,7.3333333332518515,"[{'Type': 'labeled', 'Created_At': '2019-09-27T09:34:05Z'}, {'Type': 'unlabeled', 'Created_At': '2019-09-28T06:26:57Z'}, {'Type': 'labeled', 'Created_At': '2019-09-28T06:26:57Z'}, {'Type': 'labeled', 'Created_At': '2019-09-28T06:26:57Z'}]",https://api.github.com/repos/PyGithub/PyGithub/pulls/1231,0.07692307692292899,0.0,41,0,92,0.0,0.0,-394.92731829564036,25,25,2884,4,-71.6557110846,-114.185690448,-89.8755747527,86.8399806917,-81.4787985533,33.9228785932,45.0617032759,-57.3977973983,83.7036352307,-312.55819799,-256.166615233,-184.010170429,-499.713644084,616.835545257,-359.387402236,-13.5828773975,-17.9464906035,-367.022426963,538.90880692,-1439.78024513,9650.316666666668,PyGithub-1231,PyGithub,2019-09-27,07:29:09,NA,NA,9650.316666666668,9650.316666666668,6,,9650.316666666668
0,0,41,4,0.38461538461464495,0,2,2200.152564814815,0,2,0,1,0.3269230769224482,0,0.46153846153757394,1,91,9,Python,27.285462962962963,515.6917293231791,Add 'author_association' to 'PullRequest',0,11,0,0.30769230769171596,0,,1,0.0,1,0.24999999999951922,0.0,"Codecov Report

Merging #1216 into master will decrease coverage by 0.01%.
The diff coverage is 66.66%.


@@            Coverage Diff             @@
##           master    #1216      +/-   ##
==========================================
- Coverage   98.15%   98.13%   -0.02%     
==========================================
  Files         179      179              
  Lines       12720    12726       +6     
==========================================
+ Hits        12485    12489       +4     
- Misses        235      237       +2



Impacted Files
Coverage 





github/PullRequest.py
97.15% <66.66%> (-0.49%)





Continue to review full report at Codecov.

Legend - Click here to learn more
 = absolute <relative> (impact), ø = not affected, ? = missing data
Powered by Codecov. Last update 74cd685...ab6f97f. Read the comment docs.Hi @danielnsilva Thank you very much for your PR. It would be helpful if you can add a unit test. You can refer to the contribution docs for instructions.",0.0,0.99999999998,2,8,0.05769230769219674,8,923,2019-09-06T17:28:24Z,'author_association' labels PR author as project member or contributor.,207,0,0.0,0.0,0,7.3333333332518515,"[{'Type': 'labeled', 'Created_At': '2019-09-07T06:49:42Z'}, {'Type': 'commented', 'Created_At': '2019-09-07T06:50:13Z'}]",https://api.github.com/repos/PyGithub/PyGithub/pulls/1216,0.07692307692292899,0.0,1,0,1,0.0,0.0,-394.92731829564036,5,5,2884,4,2.86265259981,-20.2321655154,-40.5026042461,33.9239686728,-8.40295755863,-17.7456744909,33.7662513256,-18.212859273,27.72525841,-67.3147879839,-27.572152853,-25.387424259,-255.455369284,193.629886225,-64.1788156182,-48.088464193,-90.4888814315,-181.828608587,129.708440669,-375.1011892,39291.066666666666,PyGithub-1216,PyGithub,2019-09-06,17:28:24,NA,NA,801.8166666666667,38489.25,27,,39291.066666666666
0,0,40,4,0.38461538461464495,0,60,2196.841157407407,0,1,2,1,0.3269230769224482,10,0.46153846153757394,0,91,9,Python,31.424722222222226,515.6917293231791,fix topics attribute always return None,2,18,1,0.30769230769171596,1,,0,0.0,1,0.24999999999951922,0.0,"Codecov Report

Merging #1212 into master will increase coverage by <.01%.
The diff coverage is 100%.


@@            Coverage Diff             @@
##           master    #1212      +/-   ##
==========================================
+ Coverage   98.15%   98.15%   +<.01%     
==========================================
  Files         179      179              
  Lines       12720    12724       +4     
==========================================
+ Hits        12485    12489       +4     
  Misses        235      235



Impacted Files
Coverage 





tests/Repository.py
100% <100%> (ø)



github/Repository.py
96.65% <100%> (ø)





Continue to review full report at Codecov.

Legend - Click here to learn more
 = absolute <relative> (impact), ø = not affected, ? = missing data
Powered by Codecov. Last update 74cd685...6913fe3. Read the comment docs.",0.0,0.767123287670182,1,106,0.05769230769219674,114,919,2019-09-02T14:07:52Z,"It resolves #1208. Fixing it is not as easy as it looks like. Currently PyGithub tries to use a common way to request GitHub v3 API.

  
    
      PyGithub/github/Repository.py
    
    
        Lines 725 to 739
      in
      74cd685
    
    
    
    

        
          
               @property 
        

        
          
               def topics(self): 
        

        
          
                   """""" 
        

        
          
                   :type: list of strings 
        

        
          
                   """""" 
        

        
          
                   self._completeIfNotSet(self._topics) 
        

        
          
                   return self._topics.value 
        

        
          
            
        

        
          
               @property 
        

        
          
               def trees_url(self): 
        

        
          
                   """""" 
        

        
          
                   :type: string 
        

        
          
                   """""" 
        

        
          
                   self._completeIfNotSet(self._trees_url) 
        

        
          
                   return self._trees_url.value 
        
    
  


Due to GitHub preview handling, each individual preview has its own MIME type(the Accept header) to enable it. I'm not sure it's good to use some MIME type by default. If I put the mercy-preview in default Accept header, there will be 33 fail tests. And if GitHub adds some new preview, we need to change the ReplayData again.
If any good idea, please tell me, I will change.",207,0,0.13698630136967535,0.0,1,7.3333333332518515,[],https://api.github.com/repos/PyGithub/PyGithub/pulls/1212,0.07692307692292899,0.0,1,0,3,0.0,0.0,-394.92731829564036,73,56,2884,0,-136.933526728,-194.116610217,-276.668340266,404.44043164,-198.918237229,118.898324937,78.9403996319,-78.3766424879,150.729219593,-690.904212415,62.3603507578,25.5841486207,-166.270024544,39.8081226163,-27.8809684068,-26.2457221299,-127.686497338,-120.280719593,58.1376595497,-157.638105694,45251.6,PyGithub-1212,PyGithub,2019-09-02,14:07:52,NA,NA,45251.6,45251.6,31,,45251.6
